V1,V2
P68951,P06748
P24938,P06748
P03129,P06400
P03129,P06400
P06400,P03129
P06400,P03129
P03129,P06400
P06400,P03129
P03129,P06400
P03129,P06400
P03129,P06400
P03129,P06400
P06400,P03129
P06400,P03129
P06400,P03129
P03129,P06400
P03129,P06400
P03120,Q92547
P03120,Q92547
P03126,Q96QZ7
P03126,Q9UBE0
P03126,Q14160
P03126,Q14188
P03126,Q14671
P03126,P52292
P03126,P38936
P03126,Q96EK4
P03126,Q15022
P03126,P59190
P03126,Q8IYJ3
P03126,P18848
P03126,Q9Y244
P03126,P27635
P03126,Q9Y2S7
P03126,O95905
P03126,O43166
P03126,O14896
P03126,O75528
P03126,Q05086
P03126,P05549
P03126,P28074
P03126,P20618
P03126,O95551
P03126,Q13485
P03129,P68104
P03129,P28749
P03129,P12004
P03129,Q9UBS4
P03129,Q9UHC7
P03129,P39023
P03129,Q99729
P03129,O94842
P03129,Q15005
P03129,Q14168
P03129,Q9UNK0
P03129,P25106
P03129,Q16831
P03129,P50479
P03129,P06733
P03129,Q96EK4
P03129,P26641
P03129,P04632
P03129,O60814
P03129,P05549
P03129,Q96EY1
P03129,P29590
P03129,Q9NQ31
P03129,P60709
P03129,Q9UHR5
P03129,P16144
P03129,P06400
P03129,P14618
P03129,Q9Y6Q5
P03129,P20618
P03129,P17936
P03126,P36507
P03126,O43166
P03126,Q9Y3D0
P03126,Q13485
P03126,Q8IZ96
P03129,Q9HCK8
P03129,P50479
P03129,P68104
P03129,Q15022
P03129,O94885
P03129,O94842
P03129,P62854
P03129,P00395
P03129,P17936
P03129,O60814
P03129,P03905
P03129,Q16836
P03129,P13667
P03129,Q02878
P03129,P62081
P03129,Q66K74
Q8N1B4,P03120
P03120,Q15910
P03120,Q9NXF1
P03120,Q13813
P78383,P03120
P03120,Q9BVW5
P03120,Q15365
P03120,Q8WWY3
P03120,Q8N1B4
P03120,O00308
P03120,P16144
P03120,Q8IWI9
P03120,Q96T23
P03120,Q13287
P03120,Q8N1B4
P03120,P31274
P03120,O43791
P03120,P04637
P03120,Q9NRL2
P03120,Q12834
P03120,Q16629
P03120,Q9H0C5
P03120,Q96BJ3
P03120,Q96QF0
P03120,Q00403
P03120,Q15365
P03120,O95251
P03120,O00308
P03120,Q66K74
P03120,P56537
P03120,O15305
P03120,Q5VT06
P03120,P04792
P03120,Q9BXK5
P03120,Q9H5V8
P03120,Q96KG9
P03120,Q9UHB9
P03120,P11021
P03120,P22314
P03120,Q86VP1
P03120,P16144
P03120,P53365
P03120,Q14790
P03120,Q9Y570
P03120,Q07955
P03120,Q13227
P03120,P22736
P03120,P20226
P03120,O60885
P03120,Q8IWI9
P03120,O95235
P03120,Q9Y2S7
P03120,O14735
P03107,O00754
P03107,Q9HBE1-1
P03107,Q8TAE8
P03107,Q9GZM7
Q8TCT4,P03107
P03107,Q9HBE1-1
P03107,Q8TAE8
P03107,Q8TCT4
Q9GZM7-1,P03107
P03107,O00754
P03126,P01106
P03126,P01106
P03126,P49815
P04637-1,P03126
P49815,P03126
P49815-1,P03126
P03126,O43166
P49815,P03126
P03126,Q14653
P03129,Q08050-1
Q08050-1,P03129
P03129,Q08050-1
P03120,Q92547
P03120,Q92547
Q9Y244,P03120
P23142-1,P03126
P23142-1,P03126
P23142-1,P03126
P03120,Q00403
Q00403,P03120
P03254,P62826
P03129,P62826
P03254,P62826
P03254,P62826
P03254,P62826
P18887,P03126
P03126,P18887
P18887,P03126
P03126,Q9UHV2
P33993,P03126
Q9UHV2,P03126
P38936,P03129
P03129,P38936
P03129,P38936
P38936,P03129
P03129,P38936
P03129,Q01094
P03129,Q01094
P03129,Q01094
P03129,Q01094
P03129,Q92831
P03129,Q92831
P03120,O60885
P38398,P03126
P03129,P38398
P03126,P38398
P38398,P03126
P03129,P38398
P38398,P03126
P38398,P03126
P03129,P38398
P03129,P38398
P38398,P03129
P03126,P38398
P38398,P03126
P28749,P03129
P03129,P06400
P03247,P02545-1
P02545-2,P03247
P03247,Q16611
Q12982,P03247
Q12983,P03247
O60238,P03247
O60238,P03247
P03247,O60238
O60238,P03247
O60238,P03247
Q12983,P03247
P03126,O14907
P03126,O14907
P03366,P03366
P03366,P03366
P03366,P03366
P03366,P03366
P03366,P03366
P03366,P03366
P03366,P03366
Q14839,P03129
P06400,P03129
Q14839,P03129
Q13547,P03129
P03114,Q15645
P03114,P63279
P04637,P03126
Q05086,P03126
Q14257,P03126
P03126,Q14257
Q05086,P03126
P03254,P20226
P06400,P03129
P03129,Q5T4S7
Q14978,P03129
P03129,P06400
P28749,P03129
P03129,Q01094
P03129,Q16254
Q14209,P03129
P03129,O00716
Q14188,P03129
Q5JSB6,P03129
P20248,P03129
P03129,O96020
P03129,P06493
P24941,P03129
Q5T4S7,P03129
P03129,Q5T4S7
Q5T4S7,P03129
P03101,O00410
Q12959-1,P03126
Q12959-1,P03126
Q12959-1,P03126
P03120,Q16637-1
Q01860-1,P03255
Q01860-1,P03129
Q01860-1,P03255
Q01860-1,P03129
P04637,P03120
P04637,P03120
P03129,P14618
P03129,P14618
Q09472,P03126
Q09472,P03126
Q09472,P03126
P03126,Q09472
Q09472,P03126
P03126,Q92793
Q92793,P03126
Q09472,P03126
Q09472,P03126
P03126,Q09472
Q92769,P03129
Q13547,P03129
P03107,O00410
P03107,Q92973
P03107,Q14974
P03107,P52292
P03101,P52292
P03101,Q14974
P03107,Q14974
